key,box_score
dasboot1982,13.643307298
inthelineoffire1993,18.6482594728
poseidon2006,17.9276685525
troy2004,18.718201184
akeelahandthebee2006,17.3597591518
alamala2015,14.6245072529
alanpartridge2014,11.887251802
alatequartet2012,13.8382278664
alexander2004,17.2929167775
anygivensunday1999,18.1145474089
bornonthefourthofjuly1989,18.2730843516
jfk1991,17.3880799525
naturalbornkillers1994,18.1740472104
nixon1995,16.3054112829
w2008,17.3070874934
wallstreet1987,17.1604318671
alexcross2012,16.9162297715
stealth2005,17.0543728934
xxx2002,18.5015039049
alfie2004,16.4640780152
babyboom1987,16.6647001375
fatherofthebride1991,17.5942286842
ali2001,17.8084916252
collateral2004,18.5518644632
heat1995,17.8520007228
manhunter1986,16.5969855422
miamivice2006,18.3454797999
publicenemies2009,18.4592290374
alien31992,18.2320860985
fightclub1999,17.9773912843
gonegirl2014,18.9377530622
panicroom2002,18.5426845904
alienabduction2014,9.85751190744
aliens1986,18.2132155574
aliensofthedeep2005,15.9787713066
avatar2009,19.8633432437
ghostsoftheabyss2003,16.6275406885
titanic1997,19.2214865513
truelies1994,18.7620645853
aliensintheattic2009,17.0068592543
likemike2002,17.573086316
alittlehelp2011,12.1633940342
aliveinside2014,11.1013335041
allaboutmymother1999,14.5611916819
badeducation2004,15.6814322776
brokenembraces2009,15.4279457482
talktoher2002,15.4437766701
volver2006,15.4896623489
allaboutsteve2009,17.2119471516
chaletgirl2011,4.80936219099
alldogsgotoheaven1989,16.8458009496
allgoodthings2010,13.5099262516
capturingthefriedmans2003,14.1326280174
allisbright2013,9.26093139403
junebug2005,14.0813770485
allislost2013,14.5422417073
amostviolentyear2014,15.5444899791
margincall2011,15.7523581038
alltheprettyhorses2000,14.9990998983
slingblade1996,16.4650949957
alltherealgirls2003,13.3379932532
pineappleexpress2008,18.2923565241
princeavalanche2013,12.8039064634
undertow2004,12.3977155651
yourhighness2011,16.7988343388
almostfamous2000,17.6383794491
elizabethtown2005,17.228020055
jerrymaguire1996,18.6635071762
pearljamtwenty2011,14.0072724645
sayanything1989,17.4598556421
vanillasky2001,18.2511746815
weboughtazoo2011,17.4212669715
almosthuman2014,8.47720946585
aloneinthedark2005,15.2074438039
bloodrayne2006,14.7625846696
houseofthedead2003,16.2223483582
alongcameaspider2001,17.6026012563
dieanotherday2002,18.9257060281
next2007,16.3750509998
alongcamepolly2004,18.2311912988
iloveyouman2009,18.1301326359
alongwaydown2014,8.53865779426
alphaandomega2010,16.9504354083
alphadog2007,16.7914755653
johnq2002,17.8113930773
alps2012,9.12953743352
dogtooth2010,11.1979205611
alvinandthechipmunks2007,18.8749599984
americanbeauty1999,18.4351596413
awaywego2009,15.0408456661
jarhead2005,18.4805435753
revolutionaryroad2008,17.1277037596
roadtoperdition2002,18.6901222811
americangangster2007,19.3964012547
blackhawkdown2001,18.5711091194
bodyoflies2008,17.4821960065
gijane1997,17.8093973786
gladiator2000,18.7103109014
hannibal2001,19.2227950991
kingdomofheaven2005,18.0245805002
matchstickmen2003,17.7529010041
prometheus2012,19.0144039044
americanhistoryx1998,14.9700912084
detachment2012,11.1496349858
americanme1992,16.8927911607
americanpie22001,18.8663063265
americanpsycho2000,16.8348351957
americanreunion2012,17.8603038955
americansplendor2003,15.4981915427
girlmostlikely2013,14.5469889998
americanwedding2003,18.5029383451
howhigh2001,16.7021350635
americathebeautiful2008,11.3027323084
amistad1997,17.5089529432
catchmeifyoucan2002,19.0513009438
hook1991,18.1331738718
indianajonesandthelastcrusade1989,19.2631746837
indianajonesandthetempleofdoom1984,19.3601848007
jaws1975,18.0069318477
jurassicpark1993,19.9146818388
lincoln2012,18.8029300085
minorityreport2002,19.1461913767
munich2005,17.3448022115
raidersofthelostark1981,18.488383211
savingprivateryan1998,19.4316821625
warhorse2011,18.0312666616
waroftheworlds2005,19.6457412604
amostwantedman2014,16.6312630073
control2007,13.8068819627
amour2012,14.6262799181
amourfou2015,9.57768635809
amreeka2009,14.1450820465
anaconda1997,17.9578659989
analyzethat2002,17.0383345064
analyzethis1999,18.5571787228
bedazzled2000,17.5533116186
groundhogday1993,18.7186599942
yearone2009,17.8838026093
anastasia1997,18.1594512158
andsoitgoes2014,16.1697015186
flipped2010,14.5708928921
rumorhasit2005,15.5712200692
whenharrymetsally1989,18.2790435859
aneducation2009,14.9779576444
oneday2011,16.3664489634
angel-a2007,12.4572591808
arthurandtheinvisibles2006,16.32472203
lafemmenikita1991,14.048225784
lucy2014,18.7225344717
animalfactory2000,11.2586902003
animalhouse1978,16.2195820234
